,Date,feature,year,month
0,2018-01-01,[[1051.3374]],2018,1
1,2018-02-01,[[1051.3374]],2018,2
2,2018-03-01,[[1051.4895]],2018,3
3,2018-04-01,[[1051.6031]],2018,4
4,2018-05-01,[[1051.6718]],2018,5
5,2018-06-01,[[1051.7667]],2018,6
6,2018-07-01,[[1051.8888]],2018,7
7,2018-08-01,[[1051.9818]],2018,8
8,2018-09-01,[[1052.0823]],2018,9
9,2018-10-01,[[1052.1698]],2018,10
10,2018-11-01,[[1052.2616]],2018,11
11,2018-12-01,[[1052.3541]],2018,12
12,2019-01-01,[[1052.4553]],2019,1
13,2019-02-01,[[1052.5383]],2019,2
14,2019-03-01,[[1052.6205]],2019,3
15,2019-04-01,[[1052.699]],2019,4
16,2019-05-01,[[1052.7751]],2019,5
17,2019-06-01,[[1052.8483]],2019,6
18,2019-07-01,[[1052.921]],2019,7
19,2019-08-01,[[1052.9896]],2019,8
20,2019-09-01,[[1053.0576]],2019,9
21,2019-10-01,[[1053.1221]],2019,10
22,2019-11-01,[[1053.1852]],2019,11
23,2019-12-01,[[1053.2455]],2019,12
24,2020-01-01,[[1053.3043]],2020,1
25,2020-02-01,[[1053.3607]],2020,2
26,2020-03-01,[[1053.4155]],2020,3
27,2020-04-01,[[1053.4681]],2020,4
28,2020-05-01,[[1053.5194]],2020,5
29,2020-06-01,[[1053.5686]],2020,6
30,2020-07-01,[[1053.6166]],2020,7
31,2020-08-01,[[1053.6626]],2020,8
32,2020-09-01,[[1053.7073]],2020,9
33,2020-10-01,[[1053.7502]],2020,10
34,2020-11-01,[[1053.7919]],2020,11
35,2020-12-01,[[1053.8322]],2020,12
36,2021-01-01,[[1053.8711]],2021,1
37,2021-02-01,[[1053.9086]],2021,2
38,2021-03-01,[[1053.945]],2021,3
39,2021-04-01,[[1053.9801]],2021,4
40,2021-05-01,[[1054.014]],2021,5
41,2021-06-01,[[1054.0469]],2021,6
42,2021-07-01,[[1054.0786]],2021,7
43,2021-08-01,[[1054.1093]],2021,8
44,2021-09-01,[[1054.1388]],2021,9
45,2021-10-01,[[1054.1675]],2021,10
46,2021-11-01,[[1054.1951]],2021,11
47,2021-12-01,[[1054.2218]],2021,12
48,2022-01-01,[[1054.2477]],2022,1
49,2022-02-01,[[1054.2727]],2022,2
50,2022-03-01,[[1054.2968]],2022,3
51,2022-04-01,[[1054.3201]],2022,4
52,2022-05-01,[[1054.3427]],2022,5
53,2022-06-01,[[1054.3645]],2022,6
54,2022-07-01,[[1054.3855]],2022,7
55,2022-08-01,[[1054.4059]],2022,8
56,2022-09-01,[[1054.4255]],2022,9
57,2022-10-01,[[1054.4446]],2022,10
58,2022-11-01,[[1054.4629]],2022,11
59,2022-12-01,[[1054.4807]],2022,12
60,2023-01-01,[[1054.4978]],2023,1
61,2023-02-01,[[1054.5144]],2023,2
62,2023-03-01,[[1054.5305]],2023,3
63,2023-04-01,[[1054.546]],2023,4
64,2023-05-01,[[1054.5609]],2023,5
65,2023-06-01,[[1054.5754]],2023,6
66,2023-07-01,[[1054.5895]],2023,7
67,2023-08-01,[[1054.603]],2023,8
68,2023-09-01,[[1054.6161]],2023,9
69,2023-10-01,[[1054.6287]],2023,10
70,2023-11-01,[[1054.6409]],2023,11
71,2023-12-01,[[1054.6527]],2023,12
72,2024-01-01,[[1054.6642]],2024,1
73,2024-02-01,[[1054.6752]],2024,2
74,2024-03-01,[[1054.6858]],2024,3
75,2024-04-01,[[1054.696]],2024,4
76,2024-05-01,[[1054.706]],2024,5
77,2024-06-01,[[1054.7157]],2024,6
78,2024-07-01,[[1054.7249]],2024,7
79,2024-08-01,[[1054.7339]],2024,8
80,2024-09-01,[[1054.7426]],2024,9
81,2024-10-01,[[1054.751]],2024,10
82,2024-11-01,[[1054.7592]],2024,11
83,2024-12-01,[[1054.767]],2024,12
84,2025-01-01,[[1054.7745]],2025,1
85,2025-02-01,[[1054.7819]],2025,2
86,2025-03-01,[[1054.789]],2025,3
87,2025-04-01,[[1054.7958]],2025,4
88,2025-05-01,[[1054.8024]],2025,5
89,2025-06-01,[[1054.8087]],2025,6
90,2025-07-01,[[1054.815]],2025,7
91,2025-08-01,[[1054.8209]],2025,8
92,2025-09-01,[[1054.8267]],2025,9
93,2025-10-01,[[1054.8323]],2025,10
94,2025-11-01,[[1054.8376]],2025,11
95,2025-12-01,[[1054.8429]],2025,12
96,2026-01-01,[[1054.8479]],2026,1
97,2026-02-01,[[1054.8528]],2026,2
98,2026-03-01,[[1054.8574]],2026,3
99,2026-04-01,[[1054.862]],2026,4
100,2026-05-01,[[1054.8663]],2026,5
101,2026-06-01,[[1054.8706]],2026,6
102,2026-07-01,[[1054.8748]],2026,7
103,2026-08-01,[[1054.8787]],2026,8
104,2026-09-01,[[1054.8826]],2026,9
105,2026-10-01,[[1054.8862]],2026,10
106,2026-11-01,[[1054.8898]],2026,11
107,2026-12-01,[[1054.8933]],2026,12
108,2027-01-01,[[1054.8966]],2027,1
109,2027-02-01,[[1054.8998]],2027,2
110,2027-03-01,[[1054.903]],2027,3
111,2027-04-01,[[1054.906]],2027,4
112,2027-05-01,[[1054.9089]],2027,5
113,2027-06-01,[[1054.9117]],2027,6
114,2027-07-01,[[1054.9144]],2027,7
115,2027-08-01,[[1054.917]],2027,8
116,2027-09-01,[[1054.9196]],2027,9
117,2027-10-01,[[1054.9221]],2027,10
118,2027-11-01,[[1054.9244]],2027,11
119,2027-12-01,[[1054.9268]],2027,12
