,date,State,District,Varity,Arrival,Min_Price,max_price,model price,year,month
926,2013-04-01,Karnataka,Belgaum,Wheat,32.0,1300.0,1500.0,1400.0,2013,4
954,2013-05-01,Karnataka,Belgaum,Wheat,12.0,1650.0,1900.0,1867.0,2013,5
966,2013-06-01,Karnataka,Belgaum,Wheat,4.0,1900.0,2500.0,2200.0,2013,6
978,2013-07-01,Karnataka,Belgaum,Wheat,1.0,1650.0,1745.0,1720.0,2013,7
994,2013-08-01,Karnataka,Belgaum,Wheat,1.0,2150.0,2500.0,2350.0,2013,8
998,2013-09-01,Karnataka,Belgaum,Wheat,13.0,1680.0,1750.0,1700.0,2013,9
1007,2013-10-01,Karnataka,Belgaum,Wheat,18.0,1500.0,1668.0,1550.0,2013,10
1012,2013-11-01,Karnataka,Belgaum,Wheat,8.0,1800.0,2700.0,2600.0,2013,11
1015,2013-12-01,Karnataka,Belgaum,Wheat,1.0,1450.0,2500.0,2300.0,2013,12
1016,2014-01-01,Karnataka,Belgaum,Wheat,4.0,1400.0,1500.0,1450.0,2014,1
1024,2014-02-01,Karnataka,Belgaum,Wheat,8.0,2100.0,2225.0,2200.0,2014,2
1033,2014-03-01,Karnataka,Belgaum,Wheat,15.0,1500.0,1650.0,1600.0,2014,3
1052,2014-04-01,Karnataka,Belgaum,Wheat,1.0,1900.0,2100.0,2000.0,2014,4
1066,2014-05-01,Karnataka,Belgaum,Wheat,28.0,1500.0,1600.0,1550.0,2014,5
1081,2014-06-01,Karnataka,Belgaum,Wheat,17.0,1500.0,1685.0,1502.0,2014,6
1096,2014-07-01,Karnataka,Belgaum,Wheat,35.0,1510.0,1645.0,1543.0,2014,7
1115,2014-08-01,Karnataka,Belgaum,Wheat,46.0,1400.0,1528.0,1450.0,2014,8
1136,2014-09-01,Karnataka,Belgaum,Wheat,15.0,1560.0,1560.0,1560.0,2014,9
1144,2014-10-01,Karnataka,Belgaum,Wheat,1.0,1600.0,1600.0,1600.0,2014,10
1163,2014-11-01,Karnataka,Belgaum,Wheat,2.0,2200.0,2350.0,2300.0,2014,11
