,Date,feature,year,month
0,2018-01-01,[[1334.0146]],2018,1
1,2018-02-01,[[1310.941]],2018,2
2,2018-03-01,[[1286.3241]],2018,3
3,2018-04-01,[[1260.7714]],2018,4
4,2018-05-01,[[1233.7645]],2018,5
5,2018-06-01,[[1205.9858]],2018,6
6,2018-07-01,[[1177.3673]],2018,7
7,2018-08-01,[[1143.6906]],2018,8
8,2018-09-01,[[1107.7666]],2018,9
9,2018-10-01,[[1070.8479]],2018,10
10,2018-11-01,[[1035.5051]],2018,11
11,2018-12-01,[[1005.93274]],2018,12
12,2019-01-01,[[987.6754]],2019,1
13,2019-02-01,[[989.6762]],2019,2
14,2019-03-01,[[1018.75574]],2019,3
15,2019-04-01,[[1072.4781]],2019,4
16,2019-05-01,[[1135.5524]],2019,5
17,2019-06-01,[[1189.844]],2019,6
18,2019-07-01,[[1228.4995]],2019,7
19,2019-08-01,[[1254.1064]],2019,8
20,2019-09-01,[[1270.2677]],2019,9
21,2019-10-01,[[1279.1688]],2019,10
22,2019-11-01,[[1282.201]],2019,11
23,2019-12-01,[[1280.156]],2019,12
