,Date,feature,year,month
0,2018-01-01,[[1596.3629]],2018,1
1,2018-02-01,[[1594.6215]],2018,2
2,2018-03-01,[[1584.532]],2018,3
3,2018-04-01,[[1581.1698]],2018,4
4,2018-05-01,[[1566.0734]],2018,5
5,2018-06-01,[[1569.0123]],2018,6
6,2018-07-01,[[1578.0502]],2018,7
7,2018-08-01,[[1580.3203]],2018,8
8,2018-09-01,[[1578.0769]],2018,9
9,2018-10-01,[[1577.4546]],2018,10
10,2018-11-01,[[1569.6138]],2018,11
11,2018-12-01,[[1584.3427]],2018,12
12,2019-01-01,[[1585.0292]],2019,1
13,2019-02-01,[[1586.2566]],2019,2
14,2019-03-01,[[1582.9156]],2019,3
15,2019-04-01,[[1579.05]],2019,4
16,2019-05-01,[[1575.0527]],2019,5
17,2019-06-01,[[1576.9792]],2019,6
18,2019-07-01,[[1579.4749]],2019,7
19,2019-08-01,[[1578.6118]],2019,8
20,2019-09-01,[[1575.7025]],2019,9
21,2019-10-01,[[1572.8917]],2019,10
22,2019-11-01,[[1571.6548]],2019,11
23,2019-12-01,[[1576.5188]],2019,12
