,Date,feature,year,month
0,2018-01-01,[[2661.072]],2018,1
1,2018-02-01,[[2682.24]],2018,2
2,2018-03-01,[[2693.5903]],2018,3
3,2018-04-01,[[2703.405]],2018,4
4,2018-05-01,[[2713.8616]],2018,5
5,2018-06-01,[[2725.227]],2018,6
6,2018-07-01,[[2737.1511]],2018,7
7,2018-08-01,[[2749.231]],2018,8
8,2018-09-01,[[2761.1694]],2018,9
9,2018-10-01,[[2772.7732]],2018,10
10,2018-11-01,[[2783.9153]],2018,11
11,2018-12-01,[[2794.5098]],2018,12
12,2019-01-01,[[2804.4902]],2019,1
13,2019-02-01,[[2813.734]],2019,2
14,2019-03-01,[[2822.538]],2019,3
15,2019-04-01,[[2831.0293]],2019,4
16,2019-05-01,[[2839.22]],2019,5
17,2019-06-01,[[2847.0867]],2019,6
18,2019-07-01,[[2854.607]],2019,7
19,2019-08-01,[[2861.7712]],2019,8
20,2019-09-01,[[2868.582]],2019,9
21,2019-10-01,[[2875.05]],2019,10
22,2019-11-01,[[2881.1887]],2019,11
23,2019-12-01,[[2887.0156]],2019,12
