,Date,feature,year,month
0,2018-01-01,[[815.3021]],2018,1
1,2018-02-01,[[815.29974]],2018,2
2,2018-03-01,[[815.3018]],2018,3
3,2018-04-01,[[815.3071]],2018,4
4,2018-05-01,[[815.3137]],2018,5
5,2018-06-01,[[815.3202]],2018,6
6,2018-07-01,[[815.3259]],2018,7
7,2018-08-01,[[815.3305]],2018,8
8,2018-09-01,[[815.33405]],2018,9
9,2018-10-01,[[815.3368]],2018,10
10,2018-11-01,[[815.3388]],2018,11
11,2018-12-01,[[815.3403]],2018,12
12,2019-01-01,[[815.3414]],2019,1
13,2019-02-01,[[815.3415]],2019,2
14,2019-03-01,[[815.3415]],2019,3
15,2019-04-01,[[815.3415]],2019,4
16,2019-05-01,[[815.34155]],2019,5
17,2019-06-01,[[815.3416]],2019,6
18,2019-07-01,[[815.3416]],2019,7
19,2019-08-01,[[815.3416]],2019,8
20,2019-09-01,[[815.3417]],2019,9
21,2019-10-01,[[815.3416]],2019,10
22,2019-11-01,[[815.3417]],2019,11
23,2019-12-01,[[815.3416]],2019,12
