,Date,feature,year,month
0,2018-01-01,[[2572.4045]],2018,1
1,2018-02-01,[[2559.1838]],2018,2
2,2018-03-01,[[2576.8184]],2018,3
3,2018-04-01,[[2576.1]],2018,4
4,2018-05-01,[[2555.929]],2018,5
5,2018-06-01,[[2529.7737]],2018,6
6,2018-07-01,[[2505.2861]],2018,7
7,2018-08-01,[[2498.1997]],2018,8
8,2018-09-01,[[2506.3296]],2018,9
9,2018-10-01,[[2493.2068]],2018,10
10,2018-11-01,[[2474.6528]],2018,11
11,2018-12-01,[[2466.3618]],2018,12
12,2019-01-01,[[2451.13]],2019,1
13,2019-02-01,[[2446.232]],2019,2
14,2019-03-01,[[2439.9087]],2019,3
15,2019-04-01,[[2427.9294]],2019,4
16,2019-05-01,[[2417.633]],2019,5
17,2019-06-01,[[2412.285]],2019,6
18,2019-07-01,[[2406.9407]],2019,7
19,2019-08-01,[[2400.2805]],2019,8
20,2019-09-01,[[2394.2878]],2019,9
21,2019-10-01,[[2387.4866]],2019,10
22,2019-11-01,[[2381.5684]],2019,11
23,2019-12-01,[[2377.4304]],2019,12
24,2020-01-01,[[2372.5522]],2020,1
25,2020-02-01,[[2367.5288]],2020,2
26,2020-03-01,[[2362.9004]],2020,3
27,2020-04-01,[[2358.747]],2020,4
28,2020-05-01,[[2354.9565]],2020,5
29,2020-06-01,[[2351.5251]],2020,6
30,2020-07-01,[[2348.047]],2020,7
31,2020-08-01,[[2344.5635]],2020,8
32,2020-09-01,[[2341.4583]],2020,9
33,2020-10-01,[[2338.6326]],2020,10
34,2020-11-01,[[2335.9302]],2020,11
35,2020-12-01,[[2333.3367]],2020,12
36,2021-01-01,[[2330.8267]],2021,1
37,2021-02-01,[[2328.4685]],2021,2
38,2021-03-01,[[2326.3083]],2021,3
39,2021-04-01,[[2324.2915]],2021,4
40,2021-05-01,[[2322.3486]],2021,5
41,2021-06-01,[[2320.4927]],2021,6
42,2021-07-01,[[2318.7478]],2021,7
43,2021-08-01,[[2317.117]],2021,8
44,2021-09-01,[[2315.5913]],2021,9
45,2021-10-01,[[2314.1436]],2021,10
46,2021-11-01,[[2312.7615]],2021,11
47,2021-12-01,[[2311.4568]],2021,12
48,2022-01-01,[[2310.2349]],2022,1
49,2022-02-01,[[2309.087]],2022,2
50,2022-03-01,[[2308.0015]],2022,3
51,2022-04-01,[[2306.9717]],2022,4
52,2022-05-01,[[2305.9983]],2022,5
53,2022-06-01,[[2305.0823]],2022,6
54,2022-07-01,[[2304.2214]],2022,7
55,2022-08-01,[[2303.4082]],2022,8
56,2022-09-01,[[2302.6387]],2022,9
57,2022-10-01,[[2301.9114]],2022,10
58,2022-11-01,[[2301.226]],2022,11
59,2022-12-01,[[2300.5806]],2022,12
60,2023-01-01,[[2299.9714]],2023,1
61,2023-02-01,[[2299.396]],2023,2
62,2023-03-01,[[2298.8523]],2023,3
63,2023-04-01,[[2298.3394]],2023,4
64,2023-05-01,[[2297.856]],2023,5
65,2023-06-01,[[2297.4]],2023,6
66,2023-07-01,[[2296.9692]],2023,7
67,2023-08-01,[[2296.5625]],2023,8
68,2023-09-01,[[2296.179]],2023,9
69,2023-10-01,[[2295.817]],2023,10
70,2023-11-01,[[2295.4756]],2023,11
71,2023-12-01,[[2295.1533]],2023,12
72,2024-01-01,[[2294.8489]],2024,1
73,2024-02-01,[[2294.5618]],2024,2
74,2024-03-01,[[2294.291]],2024,3
75,2024-04-01,[[2294.0356]],2024,4
76,2024-05-01,[[2293.7942]],2024,5
77,2024-06-01,[[2293.5667]],2024,6
78,2024-07-01,[[2293.3518]],2024,7
79,2024-08-01,[[2293.149]],2024,8
80,2024-09-01,[[2292.9578]],2024,9
81,2024-10-01,[[2292.777]],2024,10
82,2024-11-01,[[2292.607]],2024,11
83,2024-12-01,[[2292.446]],2024,12
84,2025-01-01,[[2292.2942]],2025,1
85,2025-02-01,[[2292.1514]],2025,2
86,2025-03-01,[[2292.016]],2025,3
87,2025-04-01,[[2291.8887]],2025,4
88,2025-05-01,[[2291.7683]],2025,5
89,2025-06-01,[[2291.6548]],2025,6
90,2025-07-01,[[2291.5476]],2025,7
91,2025-08-01,[[2291.4465]],2025,8
92,2025-09-01,[[2291.351]],2025,9
93,2025-10-01,[[2291.2612]],2025,10
94,2025-11-01,[[2291.176]],2025,11
95,2025-12-01,[[2291.0957]],2025,12
96,2026-01-01,[[2291.0203]],2026,1
97,2026-02-01,[[2290.9487]],2026,2
98,2026-03-01,[[2290.8813]],2026,3
99,2026-04-01,[[2290.8176]],2026,4
100,2026-05-01,[[2290.7578]],2026,5
101,2026-06-01,[[2290.7012]],2026,6
102,2026-07-01,[[2290.6477]],2026,7
103,2026-08-01,[[2290.5974]],2026,8
104,2026-09-01,[[2290.5498]],2026,9
105,2026-10-01,[[2290.505]],2026,10
106,2026-11-01,[[2290.4624]],2026,11
107,2026-12-01,[[2290.4224]],2026,12
108,2027-01-01,[[2290.3845]],2027,1
109,2027-02-01,[[2290.349]],2027,2
110,2027-03-01,[[2290.3154]],2027,3
111,2027-04-01,[[2290.2837]],2027,4
112,2027-05-01,[[2290.254]],2027,5
113,2027-06-01,[[2290.2256]],2027,6
114,2027-07-01,[[2290.199]],2027,7
115,2027-08-01,[[2290.1736]],2027,8
116,2027-09-01,[[2290.15]],2027,9
117,2027-10-01,[[2290.1277]],2027,10
118,2027-11-01,[[2290.1064]],2027,11
119,2027-12-01,[[2290.0864]],2027,12
