,Date,feature,year,month
0,2018-01-01,[[1935.5535]],2018,1
1,2018-02-01,[[1900.441]],2018,2
2,2018-03-01,[[1894.5088]],2018,3
3,2018-04-01,[[1902.2687]],2018,4
4,2018-05-01,[[1907.1163]],2018,5
5,2018-06-01,[[1900.8201]],2018,6
6,2018-07-01,[[1889.5785]],2018,7
7,2018-08-01,[[1881.0457]],2018,8
8,2018-09-01,[[1878.9795]],2018,9
9,2018-10-01,[[1881.4955]],2018,10
10,2018-11-01,[[1883.9896]],2018,11
11,2018-12-01,[[1883.5183]],2018,12
12,2019-01-01,[[1880.601]],2019,1
13,2019-02-01,[[1877.9504]],2019,2
14,2019-03-01,[[1877.2412]],2019,3
15,2019-04-01,[[1878.0912]],2019,4
16,2019-05-01,[[1879.0398]],2019,5
17,2019-06-01,[[1879.0781]],2019,6
18,2019-07-01,[[1878.3208]],2019,7
19,2019-08-01,[[1877.527]],2019,8
20,2019-09-01,[[1877.2659]],2019,9
21,2019-10-01,[[1877.5085]],2019,10
22,2019-11-01,[[1877.8379]],2019,11
23,2019-12-01,[[1877.912]],2019,12
